Year,Location,Area,Rainfall,Temperature,Soil,Irrigation,yeilds,Humidity,Crops,price,calculation,res4
2004,Mangalore,1279,2903.1,27.0,Coastal alluvials,Drip,2570.0,57.0,Coconut,200000,180778.2101167315,4667.795152462862
2004,Mangalore,725,2996.6,27.0,Coastal alluvials,Drip,1402.0,55.0,Coconut,216396,358550.5763195435,4492.201379310345
2004,Mangalore,468,3522.8,27.2,Coastal alluvials,Drip,1132.0,58.0,Coconut,203317,417230.9107773852,5618.880341880342
2004,Mangalore,206,3729.8,27.0,Coastal alluvials,Drip,804.0,50.0,Coconut,238542,689220.2313432837,9066.466019417476
2004,Mangalore,177,2746.2,27.0,Coastal alluvials,Drip,792.0,52.0,Coconut,234779,688625.779040404,10394.4406779661
2004,Mangalore,146,3360.0,27.2,Coastal alluvials,Drip,338.0,57.0,Coconut,249978,1718044.0650887575,5377.904109589041
2004,Mangalore,160,3605.4,27.1,Coastal alluvials,Drip,404.0,57.0,Coconut,24848,142876.0,5865.575
2004,Mangalore,142,3512.4,26.8,Coastal alluvials,Drip,343.0,56.6,Coconut,234581,1588722.0495626822,5611.19014084507
2004,Mangalore,154,3296.0,37.0,Coastal alluvials,Drip,336.0,59.5,Coconut,200000,1382738.0952380951,5068.363636363636
2004,Mangalore,143,3550.0,38.0,Coastal alluvials,Drip,316.0,53.5,Coconut,216396,1590784.5189873418,5133.342657342657
2004,Mangalore,158,3654.0,39.0,Coastal alluvials,Drip,382.0,57.0,Coconut,203317,1236401.5471204189,5616.367088607595
2004,Mangalore,103,233.0,40.0,Coastal alluvials,Drip,231.0,55.0,Coconut,238542,2398844.4415584416,5209.834951456311
2004,Mangalore,96,234.0,41.0,Coastal alluvials,Drip,221.0,58.0,Coconut,234779,2467835.3710407238,5347.739583333334
2004,Mangalore,110,3105.0,42.0,Coastal alluvials,Drip,291.0,50.0,Coconut,249978,1995528.8453608248,6145.390909090909
2004,Mangalore,95,236.0,43.0,Coastal alluvials,Drip,283.0,52.0,Coconut,24848,203964.32508833922,6920.094736842105
2004,Mangalore,4012,2903.1,27.0,Coastal alluvials,Basin,7157.0,57.0,Coconut,45608,14803.323180103396,4143.995762711864
2004,Mangalore,4954,2996.6,27.0,Coastal alluvials,Basin,8838.0,57.0,Coconut,43562,11449.935053179452,4144.262010496568
2004,Mangalore,5174,3522.8,27.2,Coastal alluvials,Basin,9230.0,54.5,Coconut,51239,12895.79599133261,4144.045226130654
2004,Mangalore,5864,3729.8,27.0,Coastal alluvials,Basin,49084.0,58.5,Coconut,44235,2093.511225653981,19444.42905866303
2004,Mangalore,7501,2746.2,27.0,Coastal alluvials,Basin,58405.0,53.0,Coconut,45186,1797.22760037668,18087.563658178908
2004,Mangalore,32,3360.0,27.2,Coastal alluvials,Basin,114.0,56.0,Coconut,57259,1166777.6929824562,8275.6875
2004,Mangalore,6,3605.4,27.1,Coastal alluvials,Basin,19.0,57.0,Coconut,64409,7874847.736842105,7356.166666666666
2004,Mangalore,39,3512.4,26.8,Coastal alluvials,Basin,123.0,54.0,Coconut,4847,91541.30894308943,7326.384615384615
2004,Mangalore,3,3296.0,37.0,Coastal alluvials,Basin,8.0,59.0,Coconut,2644,767751.5,6194.666666666666
2004,Mangalore,9,3550.0,38.0,Coastal alluvials,Basin,29.0,53.0,Coconut,2134,170940.75862068968,7485.222222222223
2004,Mangalore,4,3654.0,39.0,Coastal alluvials,Basin,14.0,57.0,Coconut,1516,251547.7142857143,8130.5
2004,Mangalore,29,233.0,40.0,Coastal alluvials,Basin,98.0,57.0,Coconut,1493,35390.19387755102,7850.137931034483
2004,Mangalore,14003,234.0,41.0,Coastal alluvials,Basin,59777.0,54.5,Coconut,637,24.754520969603696,9916.587231307576
2004,Mangalore,14464,3105.0,42.0,Coastal alluvials,Basin,623687.0,58.5,Coconut,761,2.8344393902710814,100167.65078816372
2004,Mangalore,15009,236.0,43.0,Coastal alluvials,Basin,73730.0,53.0,Coconut,646,20.353424657534248,11411.472449863415
2004,Mangalore,15114,2903.1,27.0,Coastal alluvials,Spray,118416.0,53.5,Coconut,43562,854.5680144575057,18200.368400158794
2004,Mangalore,17512,2996.6,27.0,Coastal alluvials,Spray,171739.0,57.0,Coconut,51239,693.0761038552688,22781.503940155326
2004,Mangalore,17825,3522.8,27.2,Coastal alluvials,Spray,313547.0,55.0,Coconut,44235,327.7272785260264,40862.25419354839
2004,Mangalore,1591,3729.8,27.0,Coastal alluvials,Spray,1647.0,58.0,Coconut,45186,63732.287795992714,2404.764927718416
2004,Mangalore,1122,2746.2,27.0,Coastal alluvials,Spray,836.0,50.0,Coconut,57259,159106.04904306223,1730.8627450980393
2004,Mangalore,619,3360.0,27.2,Coastal alluvials,Spray,770.0,52.0,Coconut,64409,194314.42467532467,2889.6768982229405
2004,Mangalore,153,3605.4,27.1,Coastal alluvials,Spray,187.0,57.0,Coconut,43311,538029.1604278075,2839.2222222222226
2004,Mangalore,53,3512.4,26.8,Coastal alluvials,Spray,71.0,57.0,Coconut,45608,1492216.676056338,3111.9433962264147
2004,Mangalore,2188,3296.0,37.0,Coastal alluvials,Spray,3290.0,56.6,Coconut,43562,30758.21458966565,3492.9936014625227
2004,Mangalore,2034,3550.0,38.0,Coastal alluvials,Spray,3899.0,59.5,Coconut,51239,30527.878173890742,4452.987708947886
2004,Mangalore,2127,3654.0,39.0,Coastal alluvials,Spray,4167.0,53.5,Coconut,44235,24659.924406047518,4550.983074753173
2004,Mangalore,2050,233.0,40.0,Coastal alluvials,Spray,4904.0,57.0,Coconut,45186,21404.37969004894,5557.069268292683
2004,Mangalore,1799,234.0,41.0,Coastal alluvials,Spray,3647.0,55.0,Coconut,200000,127392.37729640801,4709.272373540855
2004,Mangalore,407,3105.0,42.0,Coastal alluvials,Spray,71.0,58.0,Coconut,216396,7080111.38028169,405.24078624078624
2004,Mangalore,173,236.0,43.0,Coastal alluvials,Spray,51.0,50.0,Coconut,203317,9260890.019607844,684.8150289017342
2013,Mangalore,206,321.0,128.0,Coastal alluvials,Drip,67.0,53.0,Cocoa,45186,1566672.8059701493,755.5388349514564
2016,Mangalore,82,324.0,131.0,Coastal alluvials,Drip,22.0,57.0,Cocoa,57259,6046029.863636363,623.2439024390244
